"","pc1vis","pc1ac","pc2vis","pc2ac","pc3ac","gPC1b","Size_mm","Aresp","Alateraliz","AReacDist_cm","ALatency_ms","AResp_dist_cm","AResp_spd_mms","AResp_MX_spd","At2mxspd_s","Aresp_dur_s","Amx_accel","At2mxaccel","VResp_dist_cm","VResp_spd_mms","VMeanAngSpd","VMeanMeander","VMeanMobility","RDistanceMoved_cm","RMeanSpeed","RMeanAngularSpd","RMeanMeander","RMeanMobility","Time_from_Last_min"
"163",NA,-0.43,NA,-0.38,0.39,0.181993472344111,11.995,1,0,NA,12.5,1.46,16.73,67.65,0.017,0.079,8360.2,0.017,NA,NA,NA,NA,NA,3.66,0.11,-35.76,-1623220,19.39,98
"166",NA,-0.18,NA,-0.52,1.11,0.172350615536388,12.084,1,0,NA,16.7,1.87,17.56,73.38,0.013,0.096,11137.4,0.021,NA,NA,NA,NA,NA,35.84,1.08,-20.17,91.42,32.62,91
"167",NA,-0.34,NA,0.91,-0.52,0.156231487629057,12.734,1,1,NA,12.5,1.44,22.46,67.65,0.008,0.054,10666.8,0.008,NA,NA,NA,NA,NA,26.76,0.81,-0.97,-13.7,39.29,88
"168",NA,-0.59,NA,-0.62,-0.23,0.174379070980162,11.51,1,0,NA,8.3,1.38,16.99,51.88,0.004,0.079,3937.7,0.042,NA,NA,NA,NA,NA,12.66,0.38,3.38,-804.74,25.49,84
"16",-0.73,NA,0.21,NA,NA,-0.0432122449632587,13.053,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,0.52,-156.22,-391.9,19.54,23.04,0.7,-59.16,-527.65,15.69,278
"170",NA,1.41,NA,-1.09,0.56,0.0379663079378968,11.804,1,1,NA,16.7,3.78,24.46,83.66,0.025,0.146,15751,0.075,NA,NA,NA,NA,NA,73.4,2.21,21.89,293.05,46.99,76
"173",NA,-0.6,NA,-0.41,1.31,0.0633666109496875,11.296,1,0,NA,25,1.57,26.76,49.91,0.013,0.054,6331.4,0.033,NA,NA,NA,NA,NA,24.39,0.73,7.8,77.83,32.84,66
"179",NA,0.88,NA,1.09,-0.85,0.0818344145999077,11.181,1,1,NA,4.2,2.04,23.17,106.52,0.013,0.092,25565,0.013,NA,NA,NA,NA,NA,32.3,0.97,-8.38,110.12,25.64,34
"180",NA,-0.09,NA,-0.31,-0.86,0.041073783291508,12.014,1,1,NA,12.5,1.69,20.27,52.61,0.013,0.079,8927.8,0.05,NA,NA,NA,NA,NA,49.21,1.51,-35.84,-201.9,42.11,26
"181",NA,0.46,NA,0,1.39,0.0213224697300321,11.719,1,0,NA,12.5,2.55,21.8,105.21,0.013,0.117,13273.4,0.013,NA,NA,NA,NA,NA,36.69,1.09,1.31,-671.03,33.97,23
"182",NA,-0.79,NA,0.08,-0.12,-0.0019043050184818,12.545,1,0,NA,8.3,1.04,16.45,59.98,0.008,0.063,6410.4,0.008,NA,NA,NA,NA,NA,52.98,1.59,-0.2,17.74,49.61,21
"186",NA,-0.77,NA,-0.32,0.69,0.0737261878304957,9.464,1,0,NA,12.5,1.5,15.22,49.91,0.004,0.088,4935.1,0.013,NA,NA,NA,NA,NA,62.66,1.89,19.34,33.86,46.5,12
"18",0.72,NA,0.72,NA,NA,-0.0347936958376246,11.978,1,1,4.94,904.2,NA,NA,NA,NA,NA,NA,NA,4.51,6.76,157.55,170.43,75.28,10.15,0.32,61.03,1438.87,14.62,268
"190",NA,-0.08,NA,0.13,2.45,-0.0325314362050925,12.495,1,1,NA,33.3,2.7,24.22,68.59,0.004,0.1,10402.8,0.013,NA,NA,NA,NA,NA,54.46,1.63,37.66,173.89,33.66,0
"19",-0.69,NA,-0.64,NA,NA,-0.04593439490086,12.213,1,0,1.4,950,NA,NA,NA,NA,NA,NA,NA,5.53,1.32,59.79,-441.05,20.37,17.41,0.52,-36.24,-1402.01,9.78,265
"21",1.2,NA,0.32,NA,NA,-0.0288916202258383,11.286,1,1,0.36,929.2,NA,NA,NA,NA,NA,NA,NA,5.04,6.57,-450.39,-110.38,78.68,43.86,1.5,17.39,-176.31,35.13,257
"22",-0.55,NA,-0.29,NA,NA,-0.0455279800411089,12.103,1,1,4.11,925,NA,NA,NA,NA,NA,NA,NA,4.86,1.62,-72.38,-162.21,27.38,26.31,0.82,-9.21,-600.65,15.01,254
"24",-1.39,NA,0.71,NA,NA,0.0332353654796707,11.507,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,0.67,314.69,1006.22,21.1,22,0.66,-2.43,199.72,13.15,248
"25",-2.58,NA,1.19,NA,NA,0.0336590620570147,11.384,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,0.89,2250.5,987.59,15.81,10.92,0.36,114.48,8921.29,9.6,244
"29",-1.89,NA,1.57,NA,NA,0.0771050514422139,11.369,1,0,5.88,875,NA,NA,NA,NA,NA,NA,NA,1.94,0.42,135.34,2320.18,12.48,6.16,0.19,67.89,-1972.5,5.32,85
